,New model added on 08/08/2025,,,,,,RV Change 03/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RV update,,,,,"20,000 KM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VX-Code,Models name,Road Tax Jur,Raod Tax Ind.,MSRP,CC Engine,Models,12,24,36,48,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46327612-TH1,Mercedes-AMG G 63 Grand Edition-TH1,22207,10828," 23,400,000.00 ",3982,Mercedes-AMG G 63 Grand Edition-TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46327622-TH1,Mercedes-AMG G 63 -TH1,22056,10828," 17,920,000.01 ",3982,Mercedes-AMG G 63 -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46525022-THA,Mercedes-AMG G 63 -THA,22056,10828," 18,800,000.00 ",3982,Mercedes-AMG G 63 -THA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19237822-THA,Mercedes-AMG GT 63 4MATIC+ -THA,22056,10828," 15,900,000.00 ",3982,Mercedes-AMG GT 63 4MATIC+ -THA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24775162-TH1,Mercedes-AMG GLA 35 4MATIC -TH1,6128,2864," 3,380,000.01 ",3982,Mercedes-AMG GLA 35 4MATIC -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25336462-TH2,Mercedes-AMG GLC 43 4MATIC Coupé -TH2,14168,6884," 5,180,000.01 ",3982,Mercedes-AMG GLC 43 4MATIC Coupé -TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16716162-TH1,Mercedes-AMG GLE 53 4MATIC+ -TH1,14192,6896," 6,220,000.01 ",3982,Mercedes-AMG GLE 53 4MATIC+ -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16716462-THA,Mercedes-AMG GLE 53 Hybrid 4MATIC+ - THA,14192,6896," 5,850,000.00 ",2999,Mercedes-AMG GLE 53 Hybrid 4MATIC+ - THA,69%,58%,52%,45%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16716462-THB,Mercedes-AMG GLE 53 Hybrid 4MATIC+ - THB,14192,6896," 5,970,000.00 ",2999,Mercedes-AMG GLE 53 Hybrid 4MATIC+ - THB,69%,58%,52%,45%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23245022-TH1,Mercedes-AMG SL 43 -TH1,6207,2864," 12,000,000.01 ",1991,Mercedes-AMG SL 43 -TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23248022-TH1,Mercedes-AMG SL 55 4MATIC+-TH1,22207,10828," 17,330,000.00 ",3982,Mercedes-AMG SL 55 4MATIC+-TH1,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23248022-TH1,Mercedes-AMG SL 55 4MATIC+ - TH2,22207,10828," 14,900,000.00 ",3982,Mercedes-AMG SL 55 4MATIC+ - TH2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29695522-THA,Mercedes-Maybach EQS 680 SUV - THA,4800,2400," 12,500,000.00 ",3075,Mercedes-Maybach EQS 680 SUV - THA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29695522-THA,Mercedes-Maybach EQS 680 SUV - THB,4800,2400," 12,620,000.00 ",3075,Mercedes-Maybach EQS 680 SUV - THB,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
