Class,ModelName,RoadTaxJur,RoadTaxInd,MSRP,CC,RV12,RV24,RV36,RV48,RV60
E-Class,Mercedes-AMG E 53 4MATIC+(*),14192,6896,4990000,2999,N/A,N/A,N/A,N/A,N/A
C-Class,Mercedes-AMG C 63 S Coupe,22056,10828,10129000,3982,N/A,N/A,N/A,N/A,N/A
E-Class,Mercedes-AMG E 63 S 4MATIC,22056,10828,12790000,3982,N/A,N/A,N/A,N/A,N/A
G-Class,Mercedes-AMG G 63(*)(*),22056,10828,15100000,3982,N/A,N/A,N/A,N/A,N/A
G-Class,Mercedes-AMG G 63 (*)(*)(*)(*) SP2,22056,10828,17890000,3982,N/A,N/A,N/A,N/A,N/A
G-Class,Mercedes-AMG G 63 (*)(*)(*)(*)(*) SP2,22056,10828,19605000,3982,N/A,N/A,N/A,N/A,N/A
GT-Class,Mercedes-AMG GT C Roadster,22056,10828,16800000,3982,N/A,N/A,N/A,N/A,N/A
GT-Class,Mercedes-AMG GT C Roadster (*),22056,10828,17190000,3982,N/A,N/A,N/A,N/A,N/A
GT-Class,Mercedes-AMG GT S,22056,10828,14900000,3982,N/A,N/A,N/A,N/A,N/A
GT-Class,Mercedes-AMG GT R(*)(*),22056,10828,18000000,3982,N/A,N/A,N/A,N/A,N/A
GT-Class,Mercedes-AMG GT R(*)(*)(*),22056,10828,17900000,3982,N/A,N/A,N/A,N/A,N/A
GLS-Class,Mercedes-Maybach GLS 600 4MATIC Premium,22056,10828,18000000,3982,N/A,N/A,N/A,N/A,N/A
GLS-Class,Mercedes-Maybach GLS 600 4MATIC Premium (*),22056,10828,18500000,3982,N/A,N/A,N/A,N/A,N/A
GLS-Class,Mercedes-Maybach GLS 600 4MATIC Premium (*)(*),22056,10828,18980000,3982,N/A,N/A,N/A,N/A,N/A
GLS-Class,Mercedes-Maybach GLS 600 4MATIC Premium (*) PG1,22056,10828,18000000,3982,N/A,N/A,N/A,N/A,N/A
S-Class,Mercedes-Maybach S 580 4MATIC Premium,22056,10828,18300000,3982,N/A,N/A,N/A,N/A,N/A
S-Class,Mercedes-Maybach S 580 e Premium,14192,6896,9880000,2999,N/A,N/A,N/A,N/A,N/A
S-Class,Mercedes-Maybach S 580 e Premium SP1,14192,6896,10380000,2999,N/A,N/A,N/A,N/A,N/A
S-Class,Mercedes-Maybach S 580 e Premium (Two-Tone),14192,6896,11200000,2999,N/A,N/A,N/A,N/A,N/A
GT-Class,Mercedes-AMG GT 63 S 4MATIC+ 4 Door Coupe(*),22056,10828,15100000,3982,N/A,N/A,N/A,N/A,N/A
G-Class,Mercedes-AMG G 63(*),22056,10828,14840000,3982,N/A,N/A,N/A,N/A,N/A
G-Class,Mercedes-AMG G 63(*)(*)(*),22056,10828,15490000,3982,N/A,N/A,N/A,N/A,N/A
G-Class,Mercedes-AMG G 63 (*)(*)(*)(*),22056,10828,16300000,3982,N/A,N/A,N/A,N/A,N/A
A-Class,Mercedes-AMG A 45 S 4MATIC+,6128,2864,4999000,1991,N/A,N/A,N/A,N/A,N/A
A-Class,Mercedes-AMG A 45 S 4MATIC+ PG1,6128,2864,4999000,1991,N/A,N/A,N/A,N/A,N/A
A-Class,Mercedes-AMG A 45 S 4MATIC+ PG2,6128,2864,4999000,1991,N/A,N/A,N/A,N/A,N/A
SL-Class,Mercedes-AMG SL 43,6128,2864,11700000,1991,N/A,N/A,N/A,N/A,N/A
EQS-Class,EQS 500 4MATIC AMG Premium EC,4400,2200,7200000,2615,0.64,0.52,0.45,0.37,0.3
EQB-Class,EQB 250 AMG Line EC,3800,1900,3020000,2110,0.67,0.55,0.48,0.4,0.34
EQE-Class,EQE 350 4MATIC SUV AMG Dynamic ,4400,2200,5650000,2580,0.69,0.57,0.5,0.42,0.35
EQE-Class,EQE 350 4MATIC SUV Electric Art,4400,2200,4850000,2580,0.69,0.57,0.5,0.42,0.35
EQE-Class,EQE 350 4MATIC SUV AMG Line,4400,2200,5300000,2580,0.69,0.57,0.5,0.42,0.35
EQE-Class,Mercedes-AMG EQE 53 4MATIC+                  ,4400,2200,5950000,2540,0.69,0.57,0.5,0.42,0.35
V-Class,V 250 d Business,7344,3472,3990000,2143,N/A,N/A,N/A,N/A,N/A
V-Class,V 250 d Business PLUS,7344,3472,4150000,2143,N/A,N/A,N/A,N/A,N/A
V-Class,V 250 d Business PLUS PG2,7344,3472,4390000,2143,N/A,N/A,N/A,N/A,N/A
V-Class,V 250 d Business PLUS PG3,7344,3472,4880000,2143,N/A,N/A,N/A,N/A,N/A
V-Class,V 250 d Exclusive,5800,2700,5400000,1950,0.66,0.56,0.51,0.45,0.4
V-Class,V 250 d Avantgarde Premium,7344,3472,5880000,2143,N/A,N/A,N/A,N/A,N/A
V-Class,V 250 d Luxury,7344,3472,4650000,2143,N/A,N/A,N/A,N/A,N/A
Vito,Vito 116 Tourer SELECT,7344,3472,2940000,2143,N/A,N/A,N/A,N/A,N/A
Vito,Vito 119 Tourer Select,5800,2700,3100000,1950,0.69,0.59,0.54,0.48,0.43
Sprinter,"Sprinter 419 CDI  with standard Wheelbase, 14seat",14096,6848,3790000,2987,N/A,N/A,N/A,N/A,N/A
Sprinter,"Sprinter 419 CDI with long Wheelbase,14 seat ",14096,6848,3900000,2987,N/A,N/A,N/A,N/A,N/A
Sprinter,Sprinter 319 CDI (Standard),7344,3472,3415000,2143,N/A,N/A,N/A,N/A,N/A
Sprinter,Sprinter 319 CDI wb 3665,7344,3472,3190000,2143,N/A,N/A,N/A,N/A,N/A
Sprinter,Sprinter 319CDI  Wheel base 4325,14096,6848,3750000,2987,N/A,N/A,N/A,N/A,N/A
Sprinter,Sprinter 519CDI  Wheel base 4325,14096,6848,3350000,2987,N/A,N/A,N/A,N/A,N/A
Sprinter,"Sprinter 419CDI,14 Seat",14096,6848,3790000,2987,N/A,N/A,N/A,N/A,N/A
Sprinter,"Sprinter 419CDI,14 Seat (long wheelbase)",14096,6848,3900000,2987,N/A,N/A,N/A,N/A,N/A
Sprinter,Sprinter 416 CDI Business,7344,3472,2890000,2143,N/A,N/A,N/A,N/A,N/A
V-Class,V 250 d AMG Line,7344,3472,6290000,2143,N/A,N/A,N/A,N/A,N/A
Sprinter,Sprinter 319 Cab Chassis,5800,2700,2070000,1950,N/A,N/A,N/A,N/A,N/A
Sprinter,Sprinter 419 Business,5800,2700,3980000,1950,N/A,N/A,N/A,N/A,N/A
Sprinter,Sprinter 419 Business Long,5800,2700,4240000,1950,N/A,N/A,N/A,N/A,N/A
