Entity,Order,CustomerType,Segment,AssetValuationCurve,AssetState,RatingOrScoring,ScorecardIDName,ScorecardIDVersion,Frontend,RatingScoringClass,DFS Rating,Tier,Value
THA-FS,80,DEALER,,,,,,,Y,,8.9,,0.04066
THA-FS,81,DEALER,,,,,,,Y,,"9, 9.0",,0.0421
THA-FS,82,DEALER,,,,,,,Y,,9.1,,0.04807
THA-FS,83,DEALER,,,,,,,Y,,9.2,,0.05404
THA-FS,84,DEALER,,,,,,,Y,,9.3,,0.06001
THA-FS,85,DEALER,,,,,,,Y,,9.4,,0.06598
THA-FS,86,DEALER,,,,,,,Y,,9.5,,0.07195
THA-FS,87,DEALER,,,,,,,Y,,9.6,,0.07792
THA-FS,88,DEALER,,,,,,,Y,,9.7,,0.08389
THA-FS,89,DEALER,,,,,,,Y,,9.8,,0.08986
THA-FS,90,DEALER,,,,,,,Y,,9.9,,0.09583
THA-FS,91,DEALER,,,,,,,Y,,"10, 10.0",,0.1018
THA-FS,92,DEALER,,,,,,,Y,,"11, 11.0",,0.25
THA-FS,93,FLEET,,,,,,,N,,,,0.0296625510638738
THA-FS,94,FLEET,,,,,,,Y,,"1, 1.0",,0.0013694098080835
THA-FS,95,FLEET,,,,,,,Y,,1.1,,0.0016169086666372
THA-FS,96,FLEET,,,,,,,Y,,1.2,,0.001864407525191
THA-FS,97,FLEET,,,,,,,Y,,1.3,,0.0021119063837447
THA-FS,98,FLEET,,,,,,,Y,,1.4,,0.0023594052422984
THA-FS,99,FLEET,,,,,,,Y,,1.5,,0.0026069041008522
THA-FS,100,FLEET,,,,,,,Y,,1.6,,0.0028544029594059
THA-FS,101,FLEET,,,,,,,Y,,1.7,,0.0031019018179596
THA-FS,102,FLEET,,,,,,,Y,,1.8,,0.0033494006765134
THA-FS,103,FLEET,,,,,,,Y,,1.9,,0.0035968995350671
THA-FS,104,FLEET,,,,,,,Y,,"2, 2.0",,0.0038443983936208
THA-FS,105,FLEET,,,,,,,Y,,2.1,,0.0041444731628059
